"","fit","lower","upper","piWidth"
"QUAC_MSAT 3 loci",60.1277709523886,34.8153894956013,85.4401524091759,50.6247629135746
"QUAC_MSAT 4 loci",58.5102781456869,34.3032474765064,82.7173088148674,48.414061338361
"QUAC_MSAT 5 loci",59.1080671927235,35.6878520953488,82.5282822900982,46.8404301947494
"QUAC_MSAT 6 loci",59.7401285253548,38.7540283057293,80.7262287449804,41.9722004392511
"QUAC_MSAT 7 loci",60.2652692954758,40.092352501152,80.4381860897997,40.3458335886477
"QUAC_MSAT 8 loci",58.9739038429113,38.0991683419431,79.8486393438795,41.7494710019364
"QUAC_MSAT 9 loci",60.1182545479313,39.8759189980676,80.360590097795,40.4846710997274
"QUAC_MSAT 10 loci",59.6223690678886,39.1344697532633,80.1102683825139,40.9757986292505
"QUAC_MSAT 11 loci",59.7550083072139,40.0883889953654,79.4216276190624,39.333238623697
"QUAC_MSAT 12 loci",60.0915164689034,40.8989331705942,79.2840997672126,38.3851665966184
"QUAC_MSAT 13 loci",59.8892999239576,40.5955183671041,79.183081480811,38.5875631137069
"QUAC_MSAT 14 loci",60.0907479717312,40.8985094800219,79.2829864634406,38.3844769834187
"QUAC_MSAT 15 loci",59.9898311917462,41.0366321180237,78.9430302654686,37.9063981474449
"QUAC_SNP 50 loci",65.1595459581189,49.4592248399045,80.8598670763333,31.4006422364289
"QUAC_SNP 100 loci",66.2457053606188,54.3612400286086,78.1301706926291,23.7689306640204
"QUAC_SNP 200 loci",66.4368345565826,56.2535442019829,76.6201249111823,20.3665807091993
"QUAC_SNP 500 loci",67.2021960737333,58.9474406701577,75.4569514773089,16.5095108071512
"QUAC_SNP 1000 loci",67.4093042260241,59.9123868097841,74.9062216422642,14.99383483248
"QUAC_SNP 5000 loci",67.2327755038365,60.0094910111199,74.4560599965531,14.4465689854331
"QUAC_SNP 10000 loci",67.3259832351246,60.1859571792245,74.4660092910247,14.2800521118002
"QUAC_SNP 15267 loci",67.301785197245,60.253200655936,74.350369738554,14.097169082618
