"","fit","lower","upper","piWidth"
"QUBO_MSAT 3 loci",71.3588027463442,51.4591682348926,91.2584372577958,39.7992690229032
"QUBO_MSAT 4 loci",70.155614829535,51.8759730967568,88.4352565623132,36.5592834655564
"QUBO_MSAT 5 loci",72.1062444402915,57.1161787643225,87.0963101162605,29.980131351938
"QUBO_MSAT 6 loci",71.7044377128636,57.4975944972592,85.911280928468,28.4136864312088
"QUBO_MSAT 7 loci",73.4104351277523,61.4767271002322,85.3441431552724,23.8674160550402
"QUBO_MSAT 8 loci",73.2282536014499,61.5640570091388,84.8924501937611,23.3283931846223
"QUBO_MSAT 9 loci",73.8609395249195,63.7723241571418,83.9495548926972,20.1772307355554
"QUBO_SNP 50 loci",72.9634415235459,59.4431403889366,86.4837426581552,27.0406022692186
"QUBO_SNP 100 loci",72.9363168761961,62.7266897451026,83.1459440072896,20.4192542621869
"QUBO_SNP 200 loci",73.5288317447628,65.5735836531313,81.4840798363944,15.9104961832631
"QUBO_SNP 500 loci",73.8752713286791,67.9660582835978,79.7844843737604,11.8184260901626
"QUBO_SNP 1000 loci",73.7579197896203,68.5535291868889,78.9623103923516,10.4087812054626
"QUBO_SNP 2000 loci",73.8848799161124,69.1671255334243,78.6026342988005,9.4355087653762
"QUBO_SNP 4000 loci",73.8224867075453,69.27415197073,78.3708214443607,9.0966694736307
"QUBO_SNP 6248 loci",73.8164223869726,69.3155855737152,78.31725920023,9.00167362651479
